time,China,Indonesia,Malaysia,Philippines,Thailand
Q1 2011,9.799967188,6.476968487,5.004928211,4.827017166,3.702930807
Q2 2011,10.12688157,6.268456737,4.631706608,3.560324598,2.603616169
Q3 2011,9.751220065,6.013137553,6.001985316,3.035778193,-7.166095821
Q4 2011,-4.1606809,5.942401502,5.497638778,4.034918351,1.630824918
Q1 2012,8.124845808,6.110087131,5.080391142,6.040021022,5.487185355
Q2 2012,7.653774401,6.207811159,5.247931548,6.219335928,-0.472783944
Q3 2012,7.544901865,5.940038676,5.008889512,7.399516074,11.34712612
Q4 2012,8.131952557,5.87064375,6.503822902,7.843869454,4.362570103
Q1 2013,7.858722537,5.540870721,4.327806352,7.593129353,4.527071066
Q2 2013,7.567107397,5.588224728,4.556036065,7.512426064,1.775896752
Q3 2013,7.936441328,5.515851644,4.902226875,6.708961458,1.868493063
Q4 2013,7.712578547,5.58458974,4.951771978,5.351248197,0.95436934
Q1 2014,7.375945553,5.115892066,6.265006002,5.698826204,0.358829523
Q2 2014,7.484584391,4.937557952,6.52748222,6.936485953,1.969080979
Q3 2014,7.135092216,4.931811832,5.629204347,5.935093677,1.434872126
Q4 2014,7.233863098,5.047651548,5.655485077,6.727607557,3.231244695
Q1 2015,6.97730563,4.831236254,5.895228246,5.249495473,3.269710076
Q2 2015,6.986926915,4.740314523,5.000482323,6.398778061,3.169065358
Q3 2015,6.86172362,4.779496042,4.820668338,6.587400235,3.928160928
Q4 2015,6.818983946,5.152625254,4.71100137,7.045169583,3.040590775
Q1 2016,6.730369991,4.943420882,4.050359853,6.918606911,3.570417405
Q2 2016,7.186649645,5.214650045,3.950053017,7.439514562,3.432655567
Q3 2016,7.6546414,5.033505293,4.32152342,7.329801185,2.598805618
Q4 2016,6.218872456,4.938895589,4.543265083,6.913047246,2.344042928
Q1 2017,6.848261511,5.008360853,5.63756163,6.374132635,4.23767872
Q2 2017,6.809500278,5.012551768,5.797699185,7.177099376,4.626377889
Q3 2017,6.738610315,5.064763328,6.203267497,7.531596385,5.30115576
Q4 2017,6.655997484,5.189744468,5.930248151,6.641205699,4.666879038
Q1 2018,6.843368586,5.064196216,5.366675231,6.454559908,4.775521887
Q2 2018,6.687731265,5.26585489,4.493908806,6.37889505,4.481934945
Q3 2018,6.450897252,5.166722571,4.352833259,6.145971129,2.344609983
Q4 2018,6.351660056,5.177957553,4.712442953,6.383800868,4.066242287
