police,crime,index
10528 ,41066 ,1 
2322 ,6515 ,2 
2177 ,5757 ,3 
3831 ,19367 ,4 
1966 ,3972 ,5 
1990 ,6178 ,6 
3552 ,14596 ,7 
4747 ,35055 ,8 
3376 ,18924 ,9 
3386 ,18820 ,10 
11335 ,84154 ,11 
43272 ,162557 ,12 
11444 ,77904 ,13 
15523 ,76962 ,14 
4125 ,17320 ,15 
1659 ,7461 ,16 
3436 ,14791 ,17 
6115 ,29395 ,18 
1933 ,6383 ,19 
1951 ,7481 ,20 
1709 ,5285 ,21 
3469 ,22357 ,22 
13440 ,96839 ,23 
3033 ,19726 ,24 
2243 ,15447 ,25 
6493 ,31944 ,26 
21275 ,151413 ,27 
11842 ,70532 ,28 
2449 ,12337 ,29 
2169 ,9110 ,30 
1226 ,4279 ,31 
1495 ,4379 ,32 
3470 ,19824 ,33 
5123 ,22592 ,34 
3105 ,10292 ,35 
1535 ,5818 ,36 
1836 ,8340 ,37 
2436 ,13598 ,38 
1588 ,6530 ,39 
10965 ,66794 ,40 
1694 ,7509 ,41 
3042 ,7318 ,42 
3067 ,12836 ,43 
2063 ,6290 ,44 
2008 ,7997 ,45 
3004 ,9276 ,46 
2594 ,10820 ,47 
